Table ES-2:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2  Eq.),,,,,,,,,,
Gas/Source,1990,,2005,,2014,2015,2016,2017,2018,
CO2,"5,128.3",,"6,131.9",,"5,561.7","5,412.4","5,292.3","5,253.6","5,424.9",
Fossil Fuel Combustion,"4,740.0",,"5,740.7",,"5,184.8","5,031.8","4,942.4","4,892.2","5,031.8",
Transportation,"1,469.1",,"1,856.1",,"1,713.7","1,725.3","1,765.3","1,787.3","1,820.7",
Electric Power,"1,820.0",,"2,400.0",,"2,037.1","1,900.6","1,808.9","1,732.0","1,752.8",
Industrial,857.0,,850.1,,812.9,801.3,801.4,805.0,833.2,
Residential,338.2,,357.9,,346.8,317.8,293.1,293.8,337.3,
Commercial,228.2,,226.9,,232.8,245.4,232.3,232.8,246.5,
U.S. Territories,27.6,,49.7,,41.4,41.4,41.4,41.4,41.4,
Non-Energy Use of Fuels,119.5,,139.7,,120.0,127.0,113.7,123.1,134.6,
"Iron and Steel Production &
Metallurgical Coke Production",104.7,,70.1,,58.2,47.9,43.6,40.6,42.6,
Cement Production,33.5,,46.2,,39.4,39.9,39.4,40.3,40.3,
Petroleum Systems,9.6,,12.2,,30.5,32.6,23.0,24.5,36.8,
Natural Gas Systems,32.2,,25.3,,29.6,29.3,29.9,30.4,35.0,
Petrochemical Production,21.6,,27.4,,26.3,28.1,28.3,28.9,29.4,
Ammonia Production,13.0,,9.2,,9.4,10.6,10.8,13.2,13.5,
Lime Production,11.7,,14.6,,14.2,13.3,12.6,12.8,13.2,
Incineration of Waste,8.0,,12.5,,10.4,10.8,10.9,11.1,11.1,
Other Process Uses of Carbonates,6.3,,7.6,,13.0,12.2,10.5,9.9,10.0,
Urea Fertilization,2.0,,3.1,,3.9,4.1,4.0,4.5,4.6,
Carbon Dioxide Consumption,1.5,,1.4,,4.5,4.5,4.5,4.5,4.5,
"Urea Consumption for Non-
Agricultural Purposes",3.8,,3.7,,1.8,4.6,5.1,3.8,3.6,
Liming,4.7,,4.3,,3.6,3.7,3.1,3.1,3.1,
Ferroalloy Production,2.2,,1.4,,1.9,2.0,1.8,2.0,2.1,
Soda Ash Production,1.4,,1.7,,1.7,1.7,1.7,1.8,1.7,
Titanium Dioxide Production,1.2,,1.8,,1.7,1.6,1.7,1.7,1.5,
Aluminum Production,6.8,,4.1,,2.8,2.8,1.3,1.2,1.5,
Glass Production,1.5,,1.9,,1.3,1.3,1.2,1.3,1.3,
Zinc Production,0.6,,1.0,,1.0,0.9,0.9,1.0,1.0,
Phosphoric Acid Production,1.5,,1.3,,1.0,1.0,1.0,1.0,0.9,
Lead Production,0.5,,0.6,,0.5,0.5,0.5,0.5,0.5,
Carbide Production and Consumption,0.4,,0.2,,0.2,0.2,0.2,0.2,0.2,
Abandoned Oil and Gas Wells,+,,+,,+,+,+,+,+,
"Magnesium Production and
Processing",+,,+,,+,+,+,+,+,
"Wood Biomass, Ethanol, and Biodiesel
Consumptiona",219.4,,230.7,,323.2,317.7,317.2,322.2,328.9,
International Bunker Fuelsb,103.5,,113.1,,103.4,110.9,116.6,120.1,122.1,
"c
CH4",774.4,,679.6,,639.0,638.5,624.2,630.3,634.5,
Enteric Fermentation,164.2,,168.9,,164.2,166.5,171.8,175.4,177.6,
Natural Gas Systems,183.3,,158.1,,141.1,141.9,135.8,139.3,140.0,
Landfills,179.6,,131.3,,112.6,111.3,108.0,107.7,110.6,
Manure Management,37.1,,51.6,,54.3,57.9,59.6,59.9,61.7,
Coal Mining,96.5,,64.1,,64.6,61.2,53.8,54.8,52.7,
Petroleum Systems,46.1,,38.8,,43.5,40.5,39.0,38.7,36.2,
Wastewater Treatment,15.3,,15.4,,14.3,14.6,14.4,14.1,14.2,
,,,,,,,,,,
Rice Cultivation,16.0,,18.0,,15.4,16.2,13.5,12.8,13.3,
Stationary Combustion,8.6,,7.8,,8.9,8.5,7.9,7.8,8.6,
Abandoned Oil and Gas Wells,6.6,,7.0,,7.1,7.1,7.2,7.1,7.0,
Abandoned Underground Coal Mines,7.2,,6.6,,6.3,6.4,6.7,6.4,6.2,
Mobile Combustion,12.9,,9.6,,4.1,3.6,3.4,3.3,3.1,
Composting,0.4,,1.9,,2.1,2.1,2.3,2.4,2.5,
Field Burning of Agricultural Residues,0.3,,0.4,,0.4,0.4,0.4,0.4,0.4,
Petrochemical Production,0.2,,0.1,,0.1,0.2,0.2,0.3,0.3,
Ferroalloy Production,+,,+,,+,+,+,+,+,
Carbide Production and Consumption,+,,+,,+,+,+,+,+,
"Iron and Steel Production &
Metallurgical Coke Production",+,,+,,+,+,+,+,+,
Incineration of Waste,+,,+,,+,+,+,+,+,
International Bunker Fuelsb,0.2,,0.1,,0.1,0.1,0.1,0.1,0.1,
N2Oc,434.6,,432.6,,449.3,443.8,426.1,421.3,434.5,
Agricultural Soil Management,315.9,,313.0,,349.2,348.1,329.8,327.4,338.2,
Stationary Combustion,25.1,,34.3,,33.0,30.5,30.0,28.6,28.4,
Manure Management,14.0,,16.4,,17.3,17.5,18.1,18.7,19.4,
Mobile Combustion,42.0,,37.3,,19.7,18.3,17.4,16.3,15.2,
Adipic Acid Production,15.2,,7.1,,5.4,4.3,7.0,7.4,10.3,
Nitric Acid Production,12.1,,11.3,,10.9,11.6,10.1,9.3,9.3,
Wastewater Treatment,3.4,,4.4,,4.8,4.8,4.9,5.0,5.0,
N2O from Product Uses,4.2,,4.2,,4.2,4.2,4.2,4.2,4.2,
Composting,0.3,,1.7,,1.9,1.9,2.0,2.2,2.2,
"Caprolactam, Glyoxal, and Glyoxylic
Acid Production",1.7,,2.1,,2.0,1.9,1.7,1.5,1.4,
Incineration of Waste,0.5,,0.4,,0.3,0.3,0.3,0.3,0.3,
Electronics Industry,+,,0.1,,0.2,0.2,0.2,0.3,0.3,
Field Burning of Agricultural Residues,0.2,,0.2,,0.2,0.2,0.2,0.2,0.2,
Petroleum Systems,+,,+,,+,+,+,+,0.1,
Natural Gas Systems,+,,+,,+,+,+,+,+,
International Bunker Fuelsb,0.9,,1.0,,0.9,1.0,1.0,1.1,1.1,
HFCs,46.5,,128.7,,166.3,170.5,170.5,172.5,171.6,
"Substitution of Ozone Depleting
Substancesd",0.2,,108.4,,160.9,165.8,167.3,166.9,167.8,
HCFC-22 Production,46.1,,20.0,,5.0,4.3,2.8,5.2,3.3,
Electronics Industry,0.2,,0.2,,0.3,0.3,0.3,0.4,0.4,
"Magnesium Production and
Processing",0.0,,0.0,,0.1,0.1,0.1,0.1,0.1,
PFCs,24.3,,6.7,,5.6,5.1,4.3,4.0,4.6,
Electronics Industry,2.8,,3.2,,3.1,3.0,2.9,2.9,3.0,
Aluminum Production,21.5,,3.4,,2.5,2.0,1.4,1.0,1.6,
"Substitution of Ozone Depleting
Substances",0.0,,+,,+,+,+,+,0.1,
SF6,28.8,,11.8,,6.5,5.5,6.1,5.9,5.9,
"Electrical Transmission and
Distribution",23.2,,8.4,,4.8,3.8,4.1,4.1,4.1,
"Magnesium Production and
Processing",5.2,,2.7,,0.9,1.0,1.1,1.1,1.1,
Electronics Industry,0.5,,0.7,,0.7,0.7,0.8,0.7,0.8,
NF3,+,,0.5,,0.5,0.6,0.6,0.6,0.6,
Electronics Industry,+,,0.5,,0.5,0.6,0.6,0.6,0.6,
"Unspecified Mix of HFCs, PFCs, SF6, and
NF3",+,,+,,+,+,+,+,+,
Electronics Industry,+,,+,,+,+,+,+,+,
Total Emissions,"6,437.0",,"7,391.8",,"6,829.0","6,676.4","6,524.1","6,488.2","6,676.6",
LULUCF Emissionsc,7.4,,16.3,,16.6,27.4,12.8,26.1,26.1,
LULUCF CH4 Emissions,4.4,,8.8,,9.5,16.1,7.3,15.2,15.2,
LULUCF N2O Emissions,3.0,,7.5,,7.0,11.2,5.5,10.8,10.9,
LULUCF Carbon Stock Changee,(860.7),,(831.0),,(739.6),(802.9),(801.7),(790.0),(799.6),
LULUCF Sector Net Totalf,(853.4),,(814.7),,(723.0),(775.5),(788.9),(763.9),(773.5),
Net Emissions (Sources and Sinks),"5,583.6",,"6,577.1",,"6,106.0","5,900.8","5,735.1","5,724.3","5,903.2",